value,date
597.0,2024-03-23
641.0,2024-03-24
145.0,2024-03-25
204.0,2024-03-26
273.0,2024-03-27
271.0,2024-03-28
267.0,2024-03-29
1053.0,2024-03-30
1066.0,2024-03-31
284.0,2024-04-01
265.0,2024-04-02
162.0,2024-04-03
188.0,2024-04-04
284.0,2024-04-05
922.0,2024-04-06
930.0,2024-04-07
217.0,2024-04-08
214.0,2024-04-09
282.0,2024-04-10
303.0,2024-04-11
287.0,2024-04-12
1138.0,2024-04-13
878.0,2024-04-14
189.0,2024-04-15
195.0,2024-04-16
215.0,2024-04-17
122.0,2024-04-18
204.0,2024-04-19
959.0,2024-04-20
789.0,2024-04-21
190.0,2024-04-22
228.0,2024-04-23
277.0,2024-04-24
276.0,2024-04-25
278.0,2024-04-26
288.0,2024-04-27
970.0,2024-04-28
868.0,2024-04-29
871.0,2024-04-30
674.0,2024-05-01
205.0,2024-05-02
188.0,2024-05-03
599.0,2024-05-04
577.0,2024-05-05
138.0,2024-05-06
102.0,2024-05-07
160.0,2024-05-08
559.0,2024-05-09
712.0,2024-05-10
650.0,2024-05-11
500.0,2024-05-12
140.0,2024-05-13
144.0,2024-05-14
218.0,2024-05-15
211.0,2024-05-16
304.0,2024-05-17
919.0,2024-05-18
904.0,2024-05-19
259.0,2024-05-20
277.0,2024-05-21
255.0,2024-05-22
302.0,2024-05-23
324.0,2024-05-24
1017.0,2024-05-25
907.0,2024-05-26
313.0,2024-05-27
281.0,2024-05-28
342.0,2024-05-29
300.0,2024-05-30
265.0,2024-05-31
1138.0,2024-06-01
1101.0,2024-06-02
268.0,2024-06-03
312.0,2024-06-04
394.0,2024-06-05
301.0,2024-06-06
414.0,2024-06-07
1137.0,2024-06-08
965.0,2024-06-09
232.0,2024-06-10
278.0,2024-06-11
1093.0,2024-06-12
219.0,2024-06-13
337.0,2024-06-14
898.0,2024-06-15
863.0,2024-06-16
194.0,2024-06-17
203.0,2024-06-18
407.0,2024-06-19
192.0,2024-06-20
362.0,2024-06-21
807.0,2024-06-22
736.0,2024-06-23
283.0,2024-06-24
280.0,2024-06-25
259.0,2024-06-26
310.0,2024-06-27
288.0,2024-06-28
644.0,2024-06-29
688.0,2024-06-30
238.0,2024-07-01
351.0,2024-07-02
308.0,2024-07-03
278.0,2024-07-04
226.0,2024-07-05
1088.0,2024-07-06
837.0,2024-07-07
301.0,2024-07-08
303.0,2024-07-09
298.0,2024-07-10
346.0,2024-07-11
309.0,2024-07-12
872.0,2024-07-13
804.0,2024-07-14
272.0,2024-07-15
257.0,2024-07-16
299.0,2024-07-17
304.0,2024-07-18
292.0,2024-07-19
898.0,2024-07-20
819.0,2024-07-21
193.0,2024-07-22
342.0,2024-07-23
236.0,2024-07-24
264.0,2024-07-25
332.0,2024-07-26
640.0,2024-07-27
693.0,2024-07-28
268.0,2024-07-29
314.0,2024-07-30
243.0,2024-07-31
229.0,2024-08-01
299.0,2024-08-02
781.0,2024-08-03
768.0,2024-08-04
258.0,2024-08-05
227.0,2024-08-06
266.0,2024-08-07
270.0,2024-08-08
331.0,2024-08-09
808.0,2024-08-10
799.0,2024-08-11
251.0,2024-08-12
280.0,2024-08-13
318.0,2024-08-14
317.0,2024-08-15
356.0,2024-08-16
912.0,2024-08-17
757.0,2024-08-18
252.0,2024-08-19
279.0,2024-08-20
382.0,2024-08-21
307.0,2024-08-22
306.0,2024-08-23
933.0,2024-08-24
866.0,2024-08-25
292.0,2024-08-26
294.0,2024-08-27
258.0,2024-08-28
363.0,2024-08-29
405.0,2024-08-30
927.0,2024-08-31
